ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1007.5	29.77	53.1	19.2	1.36	37	-3.7	11.6	41.384507	2.117509
15	179.03	998.4	27.88	84.3	25	12.12	162.4	-3.7	11.6	41.384312	2.117291
16	185.23	997.7	27.73	81.6	24.3	12.11	162.7	-3.6	11.6	41.384392	2.117366
17	188.18	997.4	27.41	79.3	23.5	12.03	163	-3.5	11.5	41.384426	2.117297
18	190.32	997.1	27.22	76.8	22.8	11.88	163.1	-3.5	11.4	41.384478	2.117171
19	193.86	996.7	27.22	74.7	22.3	11.7	162.9	-3.4	11.2	41.384478	2.117171
20	196.31	996.5	27.28	72.9	22	11.54	162.7	-3.4	11	41.384581	2.117228
21	198.23	996.2	27.47	71.5	21.9	11.36	162.7	-3.4	10.8	41.384679	2.117222
22	201.82	995.8	27.6	70.1	21.7	11.2	162.8	-3.3	10.7	41.384753	2.117176
23	203.74	995.6	27.63	68.9	21.4	11.06	162.9	-3.3	10.6	41.384787	2.117142
24	206.89	995.3	27.57	67.7	21.1	10.9	163.1	-3.2	10.4	41.38481	2.117091
25	212.02	994.7	27.57	66.2	20.7	10.75	163.2	-3.1	10.3	41.384868	2.117091
26	213.69	994.5	27.53	65.6	20.5	10.58	163.3	-3	10.1	41.384954	2.117136
27	216.3	994.2	27.44	64.7	20.2	10.39	163.2	-3	9.9	41.385051	2.117205
28	219.73	993.8	27.38	64	20	10.23	163.3	-2.9	9.8	41.385125	2.117222
29	221.41	993.6	27.28	63.3	19.7	10.09	163.7	-2.8	9.7	41.385177	2.117148
30	228.24	992.9	27.22	63	19.6	10	164.5	-2.7	9.6	41.385223	2.117085
31	233.38	992.3	27.22	62.8	19.5	9.87	164.9	-2.6	9.5	41.385269	2.117091
32	237.72	991.8	27.16	62.3	19.3	9.72	165	-2.5	9.4	41.385315	2.117148
33	240.34	991.5	27.03	61.9	19.1	9.54	165	-2.5	9.2	41.385372	2.117188
40	250.85	990.3	25.88	60.8	17.7	9.38	165.1	-2.4	9.1	41.38579	2.117285
58	263.65	988.9	25.95	63.5	18.5	9.26	165.3	-2.3	9	41.386363	2.11701
59	266.71	988.6	25.91	63.6	18.5	9.13	165.5	-2.3	8.8	41.38638	2.116993
60	271.46	988	25.95	64.1	18.6	9.02	165.2	-2.3	8.7	41.386392	2.116976
61	274.69	987.7	26.01	64.1	18.7	8.93	164.5	-2.4	8.6	41.386403	2.116947
62	277.52	987.4	26.04	64.1	18.7	8.84	163.4	-2.5	8.5	41.386432	2.116901
63	280.8	987	25.91	63.4	18.4	8.76	162	-2.7	8.3	41.386472	2.116861
64	282.99	986.7	25.82	63.5	18.4	8.67	160.6	-2.9	8.2	41.386506	2.116833
65	285.78	986.4	25.76	64	18.4	8.61	159.3	-3	8.1	41.386552	2.116798
66	288.67	986.1	25.67	64.1	18.4	8.61	158.1	-3.2	8	41.386592	2.116764
67	291.41	985.8	25.64	64.1	18.3	8.67	156.6	-3.4	8	41.386621	2.116741
68	294.62	985.4	25.64	64.4	18.4	8.74	154.9	-3.7	7.9	41.386644	2.116718
69	299.13	984.9	25.58	64	18.3	8.84	152.9	-4	7.9	41.386661	2.116707
70	301.95	984.6	25.58	63.9	18.2	8.96	151	-4.3	7.8	41.386684	2.116701
71	306.9	984.1	25.43	62.6	17.8	9.1	149.6	-4.6	7.8	41.386713	2.116689
72	312.18	983.5	25.25	63.8	17.9	9.25	148.6	-4.8	7.9	41.386753	2.116661
73	318.62	982.8	25.34	62.6	17.7	9.39	148.1	-5	8	41.386787	2.116615
74	323.54	982.2	25.01	61.6	17.1	9.55	147.7	-5.1	8.1	41.386821	2.116569
75	328.34	981.7	24.89	61.9	17.1	9.71	147.4	-5.2	8.2	41.38685	2.116529
76	333.62	981.1	24.83	62	17.1	9.86	147.2	-5.3	8.3	41.386879	2.1165
77	339.66	980.4	24.86	63.2	17.4	9.98	147.1	-5.4	8.4	41.386919	2.116483
78	346.48	979.7	25.04	64.4	17.9	10.08	147.2	-5.5	8.5	41.38697	2.11646
79	354.08	978.8	24.74	62.7	17.1	10.18	147.6	-5.5	8.6	41.387016	2.116432
80	360.17	978.1	24.65	63.2	17.2	10.27	148	-5.4	8.7	41.387068	2.116397
81	368.47	977.2	24.59	63.5	17.2	10.35	148.5	-5.4	8.8	41.387108	2.116334
82	374.89	976.5	24.56	64.2	17.3	10.4	148.9	-5.4	8.9	41.387142	2.11626
83	382.18	975.7	24.5	64.9	17.5	10.44	149.5	-5.3	9	41.387182	2.116197
84	388.72	975	24.47	65.5	17.6	10.46	150.2	-5.2	9.1	41.387228	2.116145
85	395.18	974.2	24.41	65.6	17.5	10.45	151.1	-5	9.2	41.387285	2.116099
86	401.62	973.5	24.35	65.7	17.5	10.44	152.3	-4.9	9.2	41.387349	2.116065
87	408.14	972.8	24.35	67	17.8	10.42	153.6	-4.6	9.3	41.387417	2.116031
88	414.39	972.1	24.53	67.6	18.1	10.39	155.1	-4.4	9.4	41.387475	2.11599
89	420.49	971.4	24.35	66.4	17.7	10.33	156.6	-4.1	9.5	41.38752	2.11595
90	427.09	970.7	24.17	66.3	17.5	10.25	158.3	-3.8	9.5	41.387555	2.115922
91	434.14	969.9	24.08	67.1	17.6	10.16	160.2	-3.4	9.6	41.387589	2.115899
92	439.77	969.3	24.17	67.7	17.8	10.05	162.2	-3.1	9.6	41.387624	2.115882
93	446.37	968.6	24.11	67.8	17.8	9.96	164.5	-2.7	9.6	41.387664	2.11587
94	452.58	967.9	24.02	68.2	17.8	9.87	167	-2.2	9.6	41.387715	2.115853
95	459.87	967.1	23.9	68.1	17.7	9.8	169.4	-1.8	9.6	41.387767	2.11583
96	467.12	966.3	23.9	68.3	17.7	9.74	171.8	-1.4	9.6	41.387818	2.115801
97	473.63	965.6	23.78	67.7	17.4	9.68	174.1	-1	9.6	41.387876	2.115767
98	479.48	964.9	23.7	67.5	17.3	9.63	176.4	-0.6	9.6	41.387921	2.115727
99	487.31	964.1	23.58	67.2	17.1	9.59	178.7	-0.2	9.6	41.387962	2.115692
100	491.45	963.6	23.55	67.4	17.2	9.57	181.1	0.2	9.6	41.38799	2.115681
101	497.93	962.9	23.52	68.3	17.3	9.56	183.5	0.6	9.5	41.388025	2.115681
102	503.99	962.2	23.43	67.8	17.1	9.58	185.8	1	9.5	41.388059	2.115698
103	509.15	961.6	23.34	67.8	17.1	9.62	188.1	1.4	9.5	41.388099	2.115733
104	514.47	961.1	23.23	68.2	17	9.65	190.2	1.7	9.5	41.388145	2.115796
105	519	960.6	23.17	67.8	16.9	9.69	192.1	2	9.5	41.388191	2.115859
106	523.91	960	23.14	67.3	16.7	9.73	194	2.3	9.4	41.388242	2.115916
107	529.73	959.4	23.11	65.3	16.2	9.76	195.7	2.6	9.4	41.388288	2.115962
108	535.04	958.8	23.17	64.4	16.1	9.78	197.4	2.9	9.3	41.388328	2.116002
