ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1007.8	24.17	81.5	20.8	0	0	4.6	-3.4	41.385051	2.117474
4	109.91	1006.4	24.5	89.3	22.6	5.67	306.3	4.6	-3.4	41.385097	2.117257
5	112.84	1006.1	24.5	88.6	22.5	5.63	306.7	4.5	-3.4	41.385544	2.117641
6	118.98	1005.4	24.53	88	22.4	5.58	307.3	4.4	-3.4	41.385544	2.117669
7	123.56	1004.9	24.53	87.6	22.3	5.51	307.8	4.4	-3.4	41.385509	2.117652
8	127.57	1004.4	24.5	87	22.2	5.46	307.9	4.3	-3.4	41.385481	2.117646
9	131.48	1004	24.44	86.8	22.1	5.41	308	4.3	-3.3	41.385458	2.117692
10	139.14	1003.1	24.38	86.5	22	5.36	308.3	4.2	-3.3	41.385446	2.117772
11	143.25	1002.6	24.38	86.3	21.9	5.29	308.7	4.1	-3.3	41.385441	2.11783
12	146.41	1002.3	24.35	85.9	21.8	5.2	309.3	4	-3.3	41.385429	2.117875
13	148.8	1002	24.29	85.9	21.8	5.1	309.9	3.9	-3.3	41.385412	2.117933
14	151.49	1001.7	24.23	85.8	21.7	5	310.6	3.8	-3.3	41.385389	2.11799
15	155.65	1001.2	24.23	85.6	21.7	4.93	311.3	3.7	-3.3	41.385366	2.118036
16	160.25	1000.7	24.2	85.6	21.6	4.87	311.7	3.6	-3.2	41.385332	2.118059
17	165.08	1000.1	24.11	85.6	21.5	4.83	311.5	3.6	-3.2	41.385292	2.118059
18	169.41	999.7	24.14	85.4	21.5	4.82	310.5	3.7	-3.1	41.385251	2.118036
19	173.96	999.1	24.11	85.5	21.5	4.82	309.3	3.7	-3.1	41.385229	2.118002
20	178.62	998.6	24.08	85.1	21.4	4.82	308	3.8	-3	41.385211	2.118036
21	183.39	998.1	24.02	85.2	21.4	4.79	306.9	3.8	-2.9	41.3852	2.118082
22	188.21	997.5	23.99	85.1	21.3	4.76	306.3	3.8	-2.8	41.385183	2.118139
23	189.89	997.3	23.96	85.2	21.3	4.74	306.1	3.8	-2.8	41.385143	2.118202
24	194.06	996.8	23.9	85.2	21.3	4.71	306	3.8	-2.8	41.38512	2.118225
25	198.58	996.3	23.87	85.3	21.3	4.68	305.7	3.8	-2.7	41.385097	2.118208
26	202.86	995.9	23.84	85.4	21.2	4.65	305.3	3.8	-2.7	41.385091	2.118173
27	207.03	995.4	23.78	85.6	21.2	4.65	305	3.8	-2.7	41.385091	2.118162
28	211.23	994.9	23.75	85.5	21.2	4.66	304.7	3.8	-2.7	41.38508	2.118196
29	215.06	994.5	23.72	85.6	21.2	4.68	304.6	3.8	-2.7	41.385057	2.118242
30	219.45	994	23.67	85.6	21.1	4.69	304.3	3.9	-2.6	41.385017	2.118242
31	224.83	993.4	23.64	85.7	21.1	4.68	303.7	3.9	-2.6	41.384994	2.118219
32	229.97	992.8	23.58	85.8	21.1	4.67	302.5	3.9	-2.5	41.384988	2.118208
33	232.87	992.4	23.52	86	21	4.63	300.6	4	-2.4	41.384925	2.118208
34	237.91	991.9	23.46	86.1	21	4.55	298.2	4	-2.2	41.384902	2.118248
35	241	991.5	23.43	86.1	21	4.51	296.3	4	-2	41.384862	2.118277
36	245.01	991.1	23.4	86	20.9	4.51	294.2	4.1	-1.9	41.384833	2.118288
37	249.83	990.5	23.37	85.8	20.9	4.57	291.8	4.2	-1.7	41.384816	2.118288
38	256.06	989.8	23.37	85.6	20.8	4.64	289.3	4.4	-1.5	41.384782	2.118317
39	261.78	989.2	23.37	85.4	20.8	4.7	286.9	4.5	-1.4	41.384764	2.11838
40	266.49	988.6	23.37	85.5	20.8	4.71	284.4	4.6	-1.2	41.384724	2.118431
41	270.91	988.1	23.37	84.7	20.6	4.69	282.1	4.6	-1	41.384673	2.118454
42	275.7	987.6	23.43	84.5	20.7	4.68	280.2	4.6	-0.8	41.384615	2.11846
43	281.82	986.9	23.43	84.6	20.7	4.69	278.6	4.6	-0.7	41.38457	2.118466
44	287.84	986.2	23.4	84.6	20.7	4.74	277.8	4.7	-0.6	41.384535	2.118494
45	293.42	985.6	23.37	84.6	20.6	4.84	277.4	4.8	-0.6	41.384495	2.118552
46	300.21	984.8	23.31	84.7	20.6	4.96	276.1	4.9	-0.5	41.384444	2.118615
47	307.5	984	23.29	84.8	20.6	5.05	274.8	5	-0.4	41.384392	2.118666
48	316.16	983.1	23.26	84.8	20.6	5.09	273.6	5.1	-0.3	41.3843	2.118701
49	323.67	982.2	23.23	84.8	20.5	5.06	273	5.1	-0.3	41.384272	2.118735
50	329.93	981.5	23.17	84.9	20.5	4.99	272.5	5	-0.2	41.384255	2.118781
51	334.3	981	23.14	85	20.5	4.92	272.3	4.9	-0.2	41.38426	2.118827
52	339.1	980.5	23.11	85.1	20.5	4.86	272.2	4.9	-0.2	41.384277	2.118867
53	344.29	979.9	23.08	85.4	20.5	4.84	272.2	4.8	-0.2	41.384312	2.118878
54	349.3	979.3	23.05	85.6	20.5	4.83	272.4	4.8	-0.2	41.384318	2.118878
55	355.37	978.7	22.99	85.4	20.4	4.79	272.5	4.8	-0.2	41.384209	2.11889
56	361.91	977.9	22.94	85.5	20.4	4.68	272.4	4.7	-0.2	41.384123	2.118935
57	368.46	977.2	22.85	85.7	20.3	4.49	272.1	4.5	-0.2	41.384071	2.119016
58	375.03	976.5	22.79	85.8	20.3	4.21	270.8	4.2	-0.1	41.38406	2.119102
59	381.18	975.8	22.76	86	20.3	3.93	268.9	3.9	0.1	41.384043	2.11917
60	387.09	975.1	22.73	86.2	20.3	3.68	266.4	3.7	0.2	41.384037	2.11917
61	392.86	974.5	22.68	86.3	20.3	3.5	264.1	3.5	0.4	41.384048	2.119136
62	398.62	973.8	22.62	86.4	20.2	3.37	262.5	3.3	0.4	41.384054	2.119096
63	404.43	973.2	22.56	86.5	20.2	3.23	261.3	3.2	0.5	41.384048	2.119073
64	410.1	972.6	22.53	86.7	20.2	3.06	260.4	3	0.5	41.384043	2.119096
65	415.34	972	22.45	86.9	20.2	2.89	259.3	2.8	0.5	41.384037	2.119159
66	420.68	971.4	22.39	87.1	20.1	2.76	257.6	2.7	0.6	41.384037	2.119233
67	427.17	970.7	22.33	87.3	20.1	2.69	256.1	2.6	0.6	41.384037	2.119302
68	434.03	969.9	22.28	87.4	20.1	2.64	255.1	2.5	0.7	41.384043	2.119325
69	439.26	969.3	22.28	87.7	20.1	2.58	255.4	2.5	0.7	41.384025	2.119308
70	444.52	968.7	22.25	87.9	20.1	2.51	255.7	2.4	0.6	41.384025	2.119285
71	450.34	968.1	22.19	88.1	20.1	2.45	256.2	2.4	0.6	41.384043	2.119245
72	456.24	967.4	22.13	88.2	20.1	2.44	256.6	2.4	0.6	41.384054	2.119239
73	462.06	966.8	22.1	88.4	20.1	2.45	256.7	2.4	0.6	41.384037	2.119268
75	466.71	966.3	22.02	88.7	20.1	2.51	256.7	2.4	0.6	41.383951	2.119365
76	471.75	965.7	21.93	88.9	20	2.6	255.9	2.5	0.6	41.383928	2.119359
77	475.89	965.2	21.91	89.1	20	2.66	254.3	2.6	0.7	41.383939	2.119325
78	479.87	964.8	21.88	89.3	20	2.66	253.3	2.5	0.8	41.383968	2.119262
79	483.54	964.4	21.85	89.6	20.1	2.63	252.5	2.5	0.8	41.38402	2.119188
80	488.03	963.9	21.76	89.6	20	2.64	251.9	2.5	0.8	41.384048	2.119136
81	492.69	963.4	21.74	89.8	20	2.73	251.5	2.6	0.9	41.384031	2.119142
82	496.93	962.9	21.71	90	20	2.89	251.3	2.7	0.9	41.384002	2.11921
83	501.76	962.4	21.65	90.1	20	3.07	250.9	2.9	1	41.383991	2.119314
84	506.06	961.9	21.6	90.4	20	3.2	249.9	3	1.1	41.384008	2.119371
85	510.99	961.4	21.6	90.6	20	3.27	247.9	3	1.2	41.38402	2.119388
86	515.62	960.9	21.62	90.7	20	3.31	245.2	3	1.4	41.384025	2.119388
87	519.84	960.4	21.6	90.9	20	3.38	242.9	3	1.5	41.384008	2.119417
88	524.66	959.9	21.57	90.9	20	3.54	241.6	3.1	1.7	41.383991	2.11948
89	530.1	959.3	21.54	91	20	3.8	241.5	3.3	1.8	41.383997	2.119531
90	534.58	958.8	21.48	91.2	20	4.1	242.7	3.6	1.9	41.384031	2.119537
91	539.7	958.2	21.45	91.2	20	4.38	244.1	3.9	1.9	41.384065	2.119503
92	544.99	957.6	21.43	91.1	19.9	4.6	245.5	4.2	1.9	41.384088	2.119485
93	550.1	957.1	21.37	91.1	19.9	4.75	246.6	4.4	1.9	41.384088	2.119514
94	553.16	956.7	21.34	91.3	19.9	4.84	247.5	4.5	1.9	41.384083	2.119594
95	556.28	956.4	21.31	91.4	19.9	4.94	248.6	4.6	1.8	41.384077	2.119686
96	559.92	956	21.29	91.6	19.9	5.09	250.2	4.8	1.7	41.384077	2.119766
97	563.84	955.5	21.26	91.7	19.9	5.24	251.9	5	1.6	41.384083	2.119806
98	568.02	955.1	21.2	91.7	19.8	5.34	253.1	5.1	1.6	41.384083	2.119806
99	572.15	954.6	21.26	90.5	19.6	5.35	253.7	5.1	1.5	41.384077	2.119795
100	577.39	954.1	21.31	89.8	19.6	5.3	253.8	5.1	1.5	41.384088	2.119795
101	582.88	953.5	21.34	89.7	19.6	5.22	253.2	5	1.5	41.384111	2.119829
102	588.14	952.9	21.31	89.6	19.5	5.16	252.7	4.9	1.5	41.384146	2.119881
103	594.06	952.2	21.31	89.6	19.5	5.11	252.2	4.9	1.6	41.384174	2.119927
104	599.68	951.6	21.29	89.6	19.5	5.08	251.8	4.8	1.6	41.384209	2.11995
106	612.65	950.2	21.15	89.5	19.4	5.06	251	4.8	1.6	41.384232	2.119921
107	618.28	949.6	21.12	89.5	19.3	5	249.9	4.7	1.7	41.384237	2.119932
108	623.42	949	21.06	89.6	19.3	4.89	248.6	4.6	1.8	41.384243	2.119984
109	627.2	948.6	21.06	89.6	19.3	4.79	247.5	4.4	1.8	41.384243	2.120076
110	632.26	948.1	21.03	89.7	19.3	4.72	246.9	4.3	1.9	41.384243	2.120173
111	635.93	947.7	21.01	89.8	19.3	4.7	246.8	4.3	1.8	41.384232	2.120248
112	639.13	947.3	20.95	89.8	19.2	4.7	246.9	4.3	1.8	41.384214	2.120265
113	642.26	947	20.95	89.9	19.2	4.68	247.1	4.3	1.8	41.384197	2.120248
114	645.49	946.6	20.92	89.9	19.2	4.62	247.1	4.3	1.8	41.38418	2.120225
115	648.89	946.2	20.9	90	19.2	4.55	247.1	4.2	1.8	41.384174	2.12023
116	652.62	945.8	20.87	90.1	19.2	4.49	247.5	4.2	1.7	41.384174	2.120276
117	656.32	945.4	20.81	90.1	19.1	4.49	248.2	4.2	1.7	41.38418	2.120339
119	665.9	944.4	20.76	90.3	19.1	4.52	249	4.2	1.6	41.384209	2.120391
120	671.15	943.8	20.7	90.3	19.1	4.56	249.7	4.3	1.6	41.384232	2.120379
121	676.27	943.3	20.67	90.3	19	4.56	250	4.3	1.6	41.384255	2.120379
122	680.8	942.8	20.65	90.3	19	4.51	250	4.2	1.5	41.384283	2.120396
123	685.72	942.2	20.62	90.4	19	4.43	249.7	4.2	1.5	41.384323	2.120419
124	690.53	941.7	20.56	90.5	19	4.35	249.1	4.1	1.6	41.38434	2.120431
125	695.15	941.2	20.54	90.6	18.9	4.32	248.2	4	1.6	41.384346	2.120431
126	699.43	940.7	20.48	90.6	18.9	4.35	247.3	4	1.7	41.384346	2.120431
127	703.86	940.3	20.48	90.6	18.9	4.41	246.3	4	1.8	41.384358	2.120437
128	707.82	939.8	20.45	90.7	18.9	4.44	245.2	4	1.9	41.384375	2.120454
129	711.77	939.4	20.43	90.7	18.9	4.43	244.2	4	1.9	41.384381	2.120471
130	714.45	939.1	20.43	90.8	18.9	4.4	243.4	3.9	2	41.384369	2.120505
131	718.42	938.7	20.37	90.9	18.8	4.4	243	3.9	2	41.384358	2.120545
132	721.95	938.3	20.37	91	18.9	4.44	243.2	4	2	41.384352	2.120603
133	724.92	938	20.34	91.1	18.8	4.51	243.9	4.1	2	41.384363	2.120666
134	728.92	937.5	20.32	91.2	18.8	4.59	244.9	4.2	1.9	41.384375	2.120717
135	732.33	937.2	20.29	91.3	18.8	4.66	246.1	4.3	1.9	41.384386	2.120746
136	735.18	936.9	20.26	91.4	18.8	4.71	247.1	4.3	1.8	41.384392	2.120757
137	738.11	936.6	20.23	91.5	18.8	4.72	248.2	4.4	1.8	41.384398	2.120763
138	741.37	936.2	20.21	91.6	18.8	4.74	249.3	4.4	1.7	41.384421	2.120775
139	744.82	935.8	20.18	91.7	18.8	4.77	250.5	4.5	1.6	41.384449	2.120803
140	748.35	935.4	20.15	91.8	18.8	4.83	251.7	4.6	1.5	41.384472	2.120843
141	751.91	935.1	20.12	92	18.8	4.89	252.4	4.7	1.5	41.384484	2.120872
142	755.43	934.7	20.1	92.1	18.8	4.94	252.6	4.7	1.5	41.384489	2.120901
143	759.28	934.3	20.1	92.1	18.8	4.98	252.4	4.7	1.5	41.384495	2.120918
144	762.9	933.9	20.07	92.1	18.7	4.99	252.1	4.8	1.5	41.384507	2.120947
145	765.52	933.6	20.07	92.2	18.8	4.98	251.7	4.7	1.6	41.38453	2.120992
146	768.86	933.2	20.04	92.1	18.7	4.95	251.4	4.7	1.6	41.384541	2.121044
