ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1007.5	26.14	72.2	20.7	4.08	86	-8.3	-0.8	41.384518	2.117371
9	142.99	1002.4	23.73	100	23.7	8.34	85	-8.3	-0.7	41.384587	2.117383
10	147.98	1001.8	23.62	100	23.6	8.33	85.4	-8.3	-0.7	41.38461	2.117331
11	151.97	1001.3	23.64	100	23.6	8.33	85.4	-8.3	-0.7	41.38461	2.11736
12	155.59	1000.9	23.94	100	23.9	8.32	85.3	-8.3	-0.7	41.384558	2.11736
13	158.5	1000.6	24	99.1	23.8	8.29	85.2	-8.3	-0.7	41.384512	2.117251
14	162.57	1000.1	24.06	97.9	23.7	8.23	85.4	-8.2	-0.7	41.384501	2.117125
15	167.9	999.5	24	96.8	23.5	8.18	85.9	-8.2	-0.6	41.384518	2.117056
16	169.98	999.3	23.91	95.8	23.2	8.15	86.4	-8.1	-0.5	41.38453	2.117085
17	175.27	998.7	23.88	94.7	23	8.09	87.1	-8.1	-0.4	41.384501	2.117119
18	177.79	998.4	23.67	93.8	22.6	8.02	88.1	-8	-0.3	41.384461	2.117068
19	180.41	998.1	23.62	93	22.4	7.99	89.3	-8	-0.1	41.384478	2.116976
20	183.7	997.7	23.44	92.2	22.1	7.97	90.3	-8	0	41.384518	2.116884
21	188	997.2	23.29	91.3	21.8	7.91	91	-7.9	0.1	41.384518	2.116804
22	193.31	996.6	23.15	90.1	21.4	7.87	92	-7.9	0.3	41.384495	2.116735
23	199.4	995.9	23.06	90.3	21.4	7.88	93.3	-7.9	0.5	41.384472	2.116689
24	201.7	995.7	23.06	90.1	21.3	7.92	94.9	-7.9	0.7	41.384449	2.116644
25	204.69	995.3	23.18	90.6	21.6	7.96	96.4	-7.9	0.9	41.384432	2.116569
26	209.45	994.8	23.21	91	21.7	7.96	97.6	-7.9	1.1	41.384398	2.116477
27	214.2	994.3	23.06	90.5	21.4	7.98	98.7	-7.9	1.2	41.384381	2.116409
28	218.47	993.8	22.97	90.8	21.4	8.07	99.9	-7.9	1.4	41.384392	2.11638
29	222.77	993.3	23.12	90.9	21.6	8.19	101.1	-8	1.6	41.384415	2.116346
30	227.67	992.7	23	90.5	21.4	8.28	102.2	-8.1	1.7	41.384426	2.116317
31	232.04	992.2	22.89	90.2	21.2	8.36	103	-8.1	1.9	41.384432	2.116294
32	237.56	991.6	22.86	90.6	21.2	8.43	103.9	-8.2	2	41.384438	2.116243
33	242.06	991.1	22.83	90.4	21.2	8.47	105	-8.2	2.2	41.384449	2.11618
34	247.36	990.5	22.77	90.6	21.2	8.49	106	-8.2	2.3	41.384472	2.116134
35	249.92	990.2	22.68	90.7	21.1	8.53	106.7	-8.2	2.5	41.384507	2.116094
36	255.18	989.6	22.57	90.7	21	8.6	107.4	-8.2	2.6	41.384518	2.116065
37	258.77	989.2	22.51	90.7	20.9	8.68	108.3	-8.2	2.7	41.38453	2.116048
38	263.74	988.6	22.42	90.6	20.8	8.75	109.5	-8.2	2.9	41.384547	2.116036
39	269.38	988	22.37	90.4	20.7	8.79	110.7	-8.2	3.1	41.38457	2.116008
40	274.83	987.4	22.25	90.5	20.6	8.83	111.7	-8.2	3.3	41.384587	2.115962
41	281.4	986.6	22.22	91.2	20.7	8.89	112.8	-8.2	3.4	41.384598	2.115904
42	284.68	986.3	22.22	91.6	20.8	9	113.9	-8.2	3.7	41.384627	2.115847
43	289.97	985.7	22.17	91.7	20.8	9.12	115	-8.3	3.9	41.384667	2.115773
44	295.38	985.1	22.14	91.7	20.7	9.25	115.9	-8.3	4	41.384707	2.115698
45	300.83	984.5	22.08	92	20.7	9.36	116.7	-8.4	4.2	41.384736	2.115647
46	305.88	983.9	22.05	92.3	20.7	9.47	117.2	-8.4	4.3	41.384759	2.115601
47	312.4	983.1	21.97	92.5	20.7	9.59	117.6	-8.5	4.4	41.384764	2.115549
48	317.08	982.6	21.94	92.6	20.7	9.72	117.8	-8.6	4.5	41.384759	2.115498
49	323.25	981.9	21.91	92.9	20.7	9.85	117.8	-8.7	4.6	41.384759	2.115446
50	327.91	981.4	21.91	93	20.7	9.97	117.8	-8.8	4.7	41.38477	2.115395
51	334.13	980.7	21.85	93.2	20.7	10.08	118	-8.9	4.7	41.384782	2.115332
52	339.37	980.1	21.83	93.2	20.7	10.17	118.1	-9	4.8	41.384799	2.11528
53	345.01	979.5	21.77	93.4	20.7	10.25	118.2	-9	4.8	41.384822	2.115217
54	350.86	978.8	21.71	93.6	20.6	10.32	118.1	-9.1	4.9	41.384845	2.115142
55	355.34	978.3	21.63	93.6	20.6	10.37	118.1	-9.2	4.9	41.384868	2.115062
56	360.27	977.8	21.6	93.8	20.6	10.42	118.1	-9.2	4.9	41.384891	2.114993
57	364.65	977.3	21.57	93.9	20.5	10.44	118.1	-9.2	4.9	41.384925	2.11493
58	370.67	976.6	21.49	93.9	20.5	10.45	118.4	-9.2	5	41.384954	2.114862
59	374.36	976.2	21.35	92.7	20.1	10.43	118.7	-9.1	5	41.384971	2.114804
60	380.13	975.5	21.26	93.3	20.1	10.39	119.1	-9.1	5.1	41.384994	2.114759
61	386.39	974.8	21.15	93	20	10.34	119.6	-9	5.1	41.385017	2.114724
62	392.08	974.2	21.09	93.3	20	10.28	120.1	-8.9	5.2	41.385045	2.114684
63	399.42	973.4	21.07	93.2	19.9	10.21	120.7	-8.8	5.2	41.385062	2.114627
64	403.91	972.9	21.07	93.5	20	10.13	121.4	-8.7	5.3	41.38508	2.114564
65	409.93	972.2	21.01	93.8	20	10.05	122.1	-8.5	5.3	41.385097	2.114484
66	415.75	971.5	20.95	94	19.9	9.96	122.9	-8.4	5.4	41.385131	2.114403
67	420.78	971	20.93	93.9	19.9	9.85	123.8	-8.2	5.5	41.385166	2.114335
68	427	970.3	20.84	93.8	19.8	9.72	124.7	-8	5.5	41.3852	2.114294
69	431.73	969.8	20.81	93.7	19.8	9.58	125.6	-7.8	5.6	41.385223	2.114266
70	437.54	969.1	20.73	93.5	19.6	9.43	126.4	-7.6	5.6	41.385251	2.114237
71	443.12	968.5	20.65	93.6	19.6	9.27	127.2	-7.4	5.6	41.38528	2.114209
72	449.27	967.8	20.59	93.3	19.5	9.13	127.9	-7.2	5.6	41.385297	2.114168
73	453.74	967.3	20.57	93.7	19.5	8.98	128.4	-7	5.6	41.385315	2.114105
74	459.86	966.6	20.51	94.2	19.5	8.84	129	-6.9	5.6	41.385343	2.114037
75	465.94	965.9	20.45	94.1	19.5	8.7	129.6	-6.7	5.5	41.385372	2.113974
76	472.54	965.2	20.4	94.1	19.4	8.55	130.2	-6.5	5.5	41.3854	2.113916
77	478.76	964.5	20.34	95.3	19.6	8.4	130.8	-6.4	5.5	41.385441	2.11387
